Label no,pH,EC,Bulk_Density,Porosity,MC,Viability
564,5.79,102.3,1.45485,45.1,14.2,1
565,5.55,90.4,1.31705,50.3,18.2,0
566,5.71,104.8,1.537,42,13.6,0
567,5.72,141.8,1.4946,43.6,10.5,0
568,5.81,104.5,1.36475,48.5,12.3,1
569,5.51,109.4,1.4363,45.8,20.5,1
570,5.71,116.5,1.38065,47.9,20.7,1
571,5.76,140.66,1.2614,52.4,21.4,1
572,5.74,69.4,1.55025,41.5,12.4,0
573,5.83,78.5,1.45485,45.1,14.5,0
574,5.84,69.6,1.3356,49.6,15.6,0
575,5.81,104.2,1.3091,50.6,18.6,1
576,5.88,100.3,1.2296,56.3,15.2,1
577,5.79,107.3,1.29585,51.1,12.3,1
578,5.87,85.2,1.2561,52.6,12.3,0
579,5.72,111.5,1.2349,53.4,14.5,1
580,5.69,120.4,1.2508,52.8,18.9,1
581,5.78,148.1,1.2879,51.4,19.2,0
582,5.95,66.5,1.26405,52.3,12,0
583,5.85,102.4,1.26405,52.3,15.3,1
584,5.55,100.1,1.2349,53.4,18,1
585,5.81,104.2,1.37535,48.1,14.2,1
586,5.79,65.2,1.5211,42.6,8.5,0
587,5.74,74.8,1.2031,54.6,9.4,0
588,5.62,100.54,1.33825,49.5,14.5,1
589,5.67,82.4,1.4681,44.6,10.3,0
590,5.91,101.7,1.4946,45.2,18.4,0
591,5.24,145.7,1.2508,52.8,12.6,0
592,5.63,108.9,1.29055,51.3,12.8,1
593,5.81,71.74,1.2296,53.6,10.2,0
594,5.83,106.8,1.25345,52.7,15.8,1
595,5.66,105.3,1.2349,53.4,23.1,1
596,5.79,129.3,1.5423,41.8,16.4,0
597,5.62,66.6,1.3674,48.4,11.8,0
598,5.84,141.4,1.41245,46.7,18.4,0
599,5.81,68.8,1.3197,50.2,12.4,0
600,5.74,121.4,1.47075,44.5,19.1,1
601,5.64,67.5,1.52375,42.5,13.9,0
602,5.74,116.8,1.4999,43.4,12.5,1
603,5.72,89,1.37535,48.1,13.7,0
604,5.83,99.6,1.45485,45.1,13.4,1
605,5.97,103.6,1.5741,40.6,14.8,0
606,5.77,91.4,1.34355,49.3,11.1,0
607,6.04,100.58,1.3144,50.4,12.8,1
608,6.05,103.2,1.43895,45.7,15.6,1
609,5.91,99.9,1.37005,48.3,18.5,1
610,5.59,104.2,1.3356,49.6,14.2,1
611,5.78,77.7,1.60325,39.5,9.4,0
612,5.78,76.3,1.41775,46.5,12.3,0
613,5.93,143.4,1.49725,43.5,14.4,0
614,4.31,133.5,1.3833,47.8,12.5,1
615,5.59,147.4,1.43895,45.7,13.6,0
616,5.61,106.8,1.2932,51.2,15.6,1
617,5.71,114.1,1.2349,53.4,12.2,1
618,5.72,103.5,1.6324,38.4,13.6,0
619,5.83,107.8,1.2826,51.6,14.2,1
620,5.84,127,1.31175,50.5,18.3,1
621,5.81,124.7,1.35945,48.7,29,1
622,5.73,75.4,1.4946,43.6,12.1,0
623,5.68,63.2,1.35415,48.9,18.9,0
624,5.81,65.3,1.41775,46.5,14.2,0
625,5.74,77.6,1.3038,50.8,18.9,0
626,5.69,125.3,1.40715,46.9,14.5,1
627,5.81,127,1.2932,51.2,12.6,1
628,5.67,128.4,1.26405,52.3,14.7,1
629,5.64,60.4,1.3621,48.6,14.6,0
630,5.82,77.3,1.48135,44.1,15.4,0
631,5.64,65.1,1.3144,50.4,12.2,0
632,5.74,110.9,1.27995,51.7,15.3,1
633,5.65,140,1.2349,53.4,14.8,1
634,5.69,128.4,1.3144,50.4,13.2,1
635,5.67,123.4,1.4522,45.2,19.1,1
636,5.74,86.1,1.5264,42.4,13.6,0
637,5.8,142.4,1.2614,52.4,12.8,0
638,5.81,85.7,1.3409,49.4,12.3,0
639,5.74,79.4,1.54495,41.7,16.8,0
640,5.75,64.2,1.2349,53.4,11.5,0
641,5.81,121.4,1.4363,45.8,14.5,1
642,5.56,108,1.26405,52.3,12.6,1
643,5.89,103.9,1.1978,54.8,18.7,1
644,5.74,88.4,1.5423,41.8,21.4,0
645,5.91,71.6,1.7914,32.4,23.5,0
646,5.71,135.8,1.325,50,15.6,1
647,5.76,103.3,1.5476,41.6,12.4,0
648,5.74,107.8,1.35945,48.7,12.6,1
649,5.9,106.8,1.44955,45.3,15.8,1
650,5.84,72.8,1.47075,44.5,19.3,0
651,5.01,146.9,1.52905,42.3,15.6,0
652,5.64,114.5,1.46545,44.7,14.3,1
653,4.09,80.9,1.4681,44.6,18.1,0
654,5.84,99.8,1.3674,48.4,16.3,1
655,5.74,114.6,1.3727,48.2,18.9,1
656,5.77,115.7,1.3886,47.6,14.2,1
657,5.79,118.6,1.3992,47.2,14.5,1
658,5.84,85.15,1.49725,43.5,13.3,0
659,5.82,91.4,1.4787,44.2,15.3,0
660,5.93,112.8,1.34885,49.1,21.9,1
661,5.74,75.3,1.4257,46.2,20.8,0
662,5.78,69.2,1.44955,45.3,11.7,0
663,5.64,115.3,1.36475,48.5,14.2,1
664,6.08,114.5,1.46015,44.9,20.7,1
665,6.12,79.8,1.57675,40.5,14.6,0
666,6.01,107.9,1.2402,53.2,18.3,1
667,6.04,105.7,1.2508,52.8,13.8,1
668,6.02,114.8,1.3356,49.6,15.3,1
669,6.07,75.2,1.5529,41.4,15.2,0
670,5.81,120.5,1.3727,48.2,14.2,1
671,6.01,85.4,1.33825,49.5,10.3,0
672,6.05,126.3,1.44955,45.3,18.3,1
673,6.07,93.2,1.4893,43.8,14.3,0
674,5.23,112.8,1.46015,44.9,16.1,1
675,5.75,114.3,1.4204,46.4,15.4,1
676,5.89,99.4,1.55555,41.3,9.8,0
677,5.89,92,1.3939,47.4,11.3,0
678,5.79,80.4,1.47605,44.3,20.2,0
679,5.99,63,1.41775,46.5,12.4,0
680,6.01,120,1.37005,48.3,21.6,1
681,5.83,108,1.30645,50.7,12.3,1
682,5.85,112.4,1.3144,50.4,25.3,1
683,5.89,74.6,1.4893,43.8,14.6,0
684,4.99,71.5,1.3886,47.6,12.3,0
685,5.94,68.1,1.59795,39.7,11.8,0
686,5.97,72.4,1.4416,45.6,10.8,0
687,5.91,76.3,1.5476,41.6,10.2,0
688,5.92,121.6,1.2773,51.8,15.5,1
689,5.94,112.5,1.2985,51,27.6,1
690,6.09,132.5,1.2349,53.4,21.6,1
691,5.89,81.4,1.5211,42.6,18.2,0
692,6.02,108.9,1.31705,50.3,16.1,1
693,5.94,104.7,1.2614,52.4,18.3,1
694,6.04,151.4,1.4681,44.6,12.3,0
695,5.93,162.3,1.31705,50.3,14.8,0
696,6.04,148.6,1.2773,51.8,10.6,0
697,6.57,117.2,1.2243,53.8,9.4,1
698,6.42,108.02,1.24815,52.9,13.8,1
699,6.81,134.2,1.2137,54.2,14.5,1
700,6.45,133.8,1.3144,50.4,15.3,1
701,6.22,81.5,1.48665,43.9,11.2,0
702,6.32,86.4,1.5582,41.2,13.6,0
703,6.65,75.8,1.4257,46.2,9.4,0
704,6.54,131.7,1.44955,45.3,14.2,1
705,6.18,106.5,1.2614,52.4,15.3,1
706,6.61,113.3,1.4416,45.6,12.8,1
707,6.25,116.1,1.41245,46.7,19.7,1
708,6.42,147.4,1.4893,43.8,11.2,0
709,6.35,122,1.4628,44.8,15.36,1
710,6.24,95.6,1.3462,49.2,10.2,1
711,6.31,98.7,1.6854,36.4,11.5,0
712,5.94,60.4,1.6059,39.4,11.2,0
713,5.97,109.2,1.4098,46.8,24.1,1
714,5.98,112.8,1.39655,47.3,20.3,1
715,6.24,131.4,1.4681,44.6,23.1,1
716,6.05,64,1.7119,35.4,11.8,0
717,6.08,82.6,1.4893,43.8,15.2,0
718,6.14,62.3,1.1275,49.5,9.8,0
719,6.25,160,2.26575,14.5,12.3,0
720,6.04,113.5,1.3833,47.8,15.8,1
721,6.17,116,1.3144,50.4,14.2,1
722,6.25,60.5,1.4469,45.4,17.4,0
723,5.98,152.5,1.2932,51.2,12.3,0
724,6.41,113.45,1.30115,50.9,18.1,1
725,6.05,70,1.5423,41.8,11.4,0
726,6.24,165.7,1.3886,47.6,12.3,0
727,5.64,75.3,1.4257,46.2,15.1,0
728,5.78,92.4,1.4628,44.8,19.7,0
729,5.67,159.4,1.42305,46.3,12.6,0
730,5.47,169,1.4416,45.6,18.4,0
731,5.84,133.3,1.31705,50.3,20.6,1
732,5.99,86.8,1.46015,44.9,21.8,0
733,5.52,146,1.27995,51.7,13.6,0
734,5.62,112.5,1.24285,53.1,15.4,1
735,5.76,119.3,1.3462,49.2,18.4,1
736,5.78,112.5,1.43365,45.9,8.6,1
737,5.82,151.2,1.61385,39.1,12.4,0
738,5.74,145.2,1.25345,52.7,16.4,0
739,5.73,132.8,1.3674,48.4,18.3,1
740,5.86,85.8,1.49725,43.5,17.9,0
741,5.65,127.6,1.25345,52.7,19.7,1
742,5.6,115.3,1.3144,50.4,20.4,1
743,5.71,94.2,1.2932,51.2,14.3,0
744,5.64,61.2,1.09445,58.7,12.3,0
745,5.93,112.3,1.2773,51.8,12.6,1
746,5.72,115.4,1.4363,45.8,13.5,1
747,5.78,118.6,1.42305,46.3,18.4,1
748,5.75,81.2,1.35945,48.7,12.5,0
749,5.64,76.4,1.3197,50.2,14.8,0
750,5.82,109.8,1.2879,51.4,17.6,1
751,5.53,130.1,1.38065,47.9,16.4,1
752,5.61,115.4,1.3303,49.8,19.2,1
753,5.39,112.8,1.4787,44.2,18.6,1
754,5.69,129.6,1.5211,42.6,19.1,0
755,5.58,142.8,1.47605,44.3,18.5,0
756,5.78,137.4,1.4098,46.8,13.5,1
757,5.74,113.4,1.4628,44.8,21.4,1
758,5.57,121.9,1.3144,50.4,25.3,1
759,5.56,108.6,1.27995,51.7,22.4,1
760,5.82,112.4,1.34885,49.1,14.5,1
761,5.94,85.4,1.53435,42.1,19.8,0
762,5.58,109.4,1.27995,51.7,15.4,1
763,5.83,112.6,1.47605,44.3,16.2,1
764,5.74,164.7,1.44955,45.3,16.8,0
765,5.84,109.7,1.35945,48.7,15.1,1
766,5.64,118.6,1.2879,51.4,18.6,1
767,5.73,111.2,1.3038,50.8,19.4,1
768,5.88,114.6,1.2349,53.4,21.7,1
769,5.76,60.3,1.2932,51.2,18.1,0
770,5.91,134.2,1.2296,53.6,18.7,1
771,5.73,140.8,1.20045,54.7,12.6,0
772,5.71,129.5,1.0229,61.4,24.6,1
773,5.92,112.6,1.44955,45.3,20.4,1
774,5.84,118.5,1.4098,46.8,14.6,1
775,5.89,92.5,1.61385,39.1,20.5,0
776,5.66,153.8,1.3621,48.6,14.3,0
777,5.64,75.1,1.4204,46.4,13.3,0
778,5.83,160.4,1.37535,48.1,19.1,0
779,5.94,141.2,1.43365,45.9,11.7,0
780,5.72,113.4,1.3886,47.6,18.4,1
781,5.66,93.4,1.6642,37.2,5.6,0
782,5.82,112.5,1.2826,51.6,16.4,1
783,5.8,79.5,1.3409,49.4,13.5,0
784,5.89,86.4,1.4681,44.6,15.8,0
785,5.64,115.2,1.43365,45.9,18.1,1
786,5.63,97.6,1.3833,47.8,19.3,1
787,5.93,142.6,1.2932,51.2,12.6,0
788,5.18,114.8,1.2879,51.4,19.3,1
789,5.67,112.9,1.3621,48.6,21.8,1
790,5.83,143.2,1.2349,53.4,28.9,0
791,5.92,113.7,1.4893,43.8,17.5,0
792,5.94,116.4,1.3356,49.6,16.3,1
793,5.78,108.9,1.4469,45.4,12.7,1
794,5.54,69.6,1.46015,44.9,13.5,0
795,5.71,75.8,1.3356,49.6,16.4,0
796,5.89,145.3,1.31705,50.3,14.8,0
797,5.82,121.6,1.1766,55.6,18.4,1
798,5.61,82.6,1.2826,51.6,12.3,0
799,5.73,143.2,1.3144,50.4,19.1,0
800,5.84,128.4,1.4946,43.6,15.6,0
801,5.62,132.3,1.41245,46.7,18.4,1
802,5.81,145.6,1.52905,42.3,13.5,0
803,5.88,112.3,1.5529,41.4,13.8,0
804,6.02,114.6,1.52375,42.5,11.1,0
805,5.98,112.5,1.4946,43.6,16.3,0
806,5.99,112.5,1.38065,47.9,13.3,1
807,5.64,111.1,1.3674,48.4,14.5,1
808,5.76,160.4,1.4946,43.6,20.7,0
809,6.75,117.1,1.28525,51.5,16.4,1
810,5.43,136.1,1.2773,51.8,14.6,1
811,5.61,99,1.22165,53.9,20.5,1
812,5.59,118.7,1.2985,51,20.5,1
813,5.81,94.8,1.42835,46.1,10.3,1
814,5.82,90.6,1.60855,39.3,9.3,0
815,5.64,99.1,1.25345,52.7,21.4,1
816,5.71,113.4,1.3674,48.4,12.4,1
817,5.24,81.4,2.13855,19.3,19.7,0
818,5.41,105.7,1.3727,48.2,15.8,1
819,5.71,82,1.5476,41.6,12.3,0
820,5.65,108.4,1.3886,47.6,20.1,1
821,5.54,87.6,1.6854,36.4,14.5,0
822,5.59,138,1.4469,45.4,18.4,1
823,5.61,108.4,1.3992,47.2,12.3,1
824,5.84,148,1.4098,46.8,20.5,0
825,5.64,85.2,1.5582,41.2,21.3,0
826,5.71,123.6,1.50255,43.3,15.5,0
827,5.84,165.1,1.4946,43.6,14.8,0
828,5.71,125.1,1.46545,44.7,16.4,1
829,5.66,126.8,1.37535,48.1,12.3,1
830,5.92,85.4,1.47605,44.3,18.9,0
831,5.71,151.2,1.43365,45.9,14.1,0
832,5.77,84,1.2296,53.6,19.1,0
833,5.79,82.1,1.3886,47.6,18.6,0
834,5.84,155.4,1.47605,44.3,15.8,0
835,5.61,82.1,1.4416,45.6,19.2,0
836,5.72,120.2,1.30645,50.7,20.3,1
837,5.75,102.8,1.34885,49.1,21.8,1
838,5.73,86,1.26405,52.3,8.2,0
839,5.74,97.1,1.3674,48.4,9.7,1
840,5.81,115.2,1.39125,47.5,22.3,1
841,5.61,125.8,1.26405,52.3,21.6,1
842,5.84,97.4,1.55025,41.5,12.6,0
843,5.81,94.5,1.52375,42.5,13.8,0
844,5.71,58.6,1.40185,47.1,15.9,0
845,5.7,153.2,1.5582,41.2,15.8,0
846,5.67,137.8,1.1819,55.4,8.4,1
847,5.71,124.4,1.26935,52.1,12.5,1
848,5.82,102.7,1.2349,53.4,10.2,1
849,5.61,145.2,1.43365,45.9,18.3,0
850,5.45,156.9,1.45485,45.1,14.6,0
851,5.69,160.4,1.35415,48.9,11.1,0
852,5.62,118.9,1.4999,43.4,15.3,0
853,5.64,129.5,1.5158,42.8,12.3,0
854,5.69,125.8,1.46545,44.7,14.8,1
855,5.62,114.3,1.34885,49.1,17.1,1
856,5.62,95.2,1.44955,45.3,11.7,1
857,5.59,108.5,1.31705,50.3,25.9,1
858,5.58,110.2,1.5158,42.8,11.8,0
859,5.57,132.4,1.3462,49.2,10.5,1
860,5.81,154.1,1.4787,44.2,11.2,0
861,5.62,106.3,1.3886,47.6,21.4,1
862,5.79,118.5,1.47605,44.3,25.6,1
863,5.77,107.8,1.30645,50.7,24.8,1
864,5.76,65.1,1.2932,51.2,15.3,0
865,5.68,84.6,1.35945,48.7,12.2,0
866,5.72,79.2,1.38065,47.9,15.3,0
867,5.76,97.5,1.3727,48.2,12.3,1
868,5.67,94.8,1.2349,53.4,12,1
869,5.81,96.4,1.2614,52.4,17.8,1
870,5.68,82.2,1.2773,51.8,13.5,0
871,5.72,82.4,1.5211,42.6,12.6,0
872,5.69,115.6,1.27995,51.7,19.4,1
873,5.72,72.8,1.15275,56.5,13.9,0
874,5.84,68.5,1.2932,51.2,8.6,0
875,5.65,35.7,1.21105,54.3,12.8,1
876,5.61,93.4,1.19515,54.9,8.8,0
877,5.64,96.6,1.5211,42.6,14.5,0
878,5.79,75.8,1.4681,44.6,12.5,0
879,5.84,63.3,1.55555,41.3,10.8,0
880,5.66,117.3,1.5582,41.2,15.7,0
881,5.62,90.4,1.49725,43.5,11.9,0
882,5.81,93.3,1.43895,45.7,12.4,0
883,5.29,106.5,1.26405,52.3,18.1,1
884,5.87,105.8,1.3144,50.4,20.3,1
885,5.69,71.7,1.4469,45.4,12.3,0
886,5.76,99.3,1.4416,45.6,28.1,1
887,5.71,106.1,1.49725,43.5,16.5,0
888,5.81,109,1.31705,50.3,18.4,1
889,5.62,71.5,1.2773,51.8,13.3,0
890,5.75,80.3,1.25345,52.7,12.7,0
891,5.62,68,1.5158,42.8,11.4,0
892,5.71,100.5,1.4363,45.8,13.6,1
893,5.92,63.4,1.45485,45.1,10.8,0
894,5.65,110.4,1.30645,50.7,14.2,1
895,5.71,112.5,1.38065,47.9,13.5,1
896,5.74,95.2,1.42305,46.3,15.6,1
897,5.93,86.4,1.6006,39.6,18.2,0
898,5.81,91.5,1.3727,48.2,15.7,0
899,6.04,100.3,1.73575,34.5,14.2,0
900,5.81,73,1.46545,44.7,15.8,0
901,5.74,99.5,1.24815,52.9,12.3,1
902,5.77,105.9,1.21635,54.1,10.1,1
903,5.81,76.5,1.25875,52.5,12.8,0
904,5.82,60.4,1.1713,55.8,12.3,0
905,5.92,65.5,1.30645,50.7,9.4,0
906,4.25,49.7,1.33295,49.7,16.8,0
907,5.62,99.8,1.34885,49.1,21.8,1
908,5.72,125.9,1.2508,52.8,13.5,1
909,5.68,124.5,1.24285,53.1,11.4,1
910,5.74,81.2,1.4416,45.6,12.5,0
911,5.82,143.2,1.4893,43.8,13.9,0
912,5.84,84.8,1.48665,43.9,15.6,0
913,5.76,104.2,1.4522,45.2,19.1,1
914,5.78,75.6,1.4681,44.6,14.3,0
915,5.67,70.6,1.4416,45.6,11.6,0
916,5.71,67.8,1.35415,48.9,16.3,0
917,5.53,77.4,1.5582,41.2,14.8,0
918,5.69,103.2,1.40185,47.1,18.3,1
919,5.75,113.4,1.2932,51.2,14.5,1
920,5.48,117.6,1.31705,50.3,19,1
921,5.61,78.8,1.5582,41.2,16.3,0
922,5.79,101,1.45485,45.1,12.8,1
923,5.59,65.6,1.51315,42.9,14.3,0
924,5.78,117,1.3144,50.4,20.4,1
925,5.76,129.6,1.3992,47.2,21.3,1
926,5.81,103.8,1.31705,50.3,14.5,1
927,5.69,117.1,1.2879,51.4,12.9,1
928,5.79,86.7,1.26405,52.3,20.5,0
929,5.64,103.5,1.31705,50.3,14.7,1
930,5.69,67.8,2.43005,8.3,15.2,0
931,5.64,86,1.1766,55.6,16.2,0
932,5.72,148.2,2.4274,8.4,13.1,0
933,5.84,119.9,1.31705,50.3,15.6,1
934,5.53,115.9,1.44955,45.3,17.8,1
935,5.92,111.5,1.35415,48.9,12.5,1
936,5.84,84.9,1.5582,41.2,13.8,0
937,5.82,70.8,2.2578,14.8,15.2,0
938,5.72,150.9,2.32405,12.3,13.6,0
939,5.78,163.6,2.16505,18.3,15.6,0
940,5.76,101.8,1.4628,44.8,12.9,1
941,5.91,110.4,1.4257,46.2,14.8,1
942,5.34,70.8,1.5582,41.2,13.5,0
943,5.23,77.6,1.3674,48.4,13.6,0
944,5.85,112.2,1.49195,43.7,19.3,0
945,4.23,81.8,1.3462,49.2,18.4,0
946,5.71,100.4,1.44955,45.3,14.3,1
947,5.74,112.4,1.31175,50.5,22,1
948,5.81,105,1.2879,51.4,12.3,1
949,5.84,105.2,1.3939,47.4,22.3,1
950,5.82,85.8,1.37535,48.1,8.6,0
951,5.74,91.4,1.6324,38.4,15.3,0
952,5.92,112.7,1.34355,49.3,15.5,1
953,5.64,74.6,1.7437,34.2,8.5,0
954,5.82,68.7,1.5211,42.6,8.7,0
955,5.76,134.8,1.25875,52.5,14.3,1
956,6.07,116.7,1.2508,52.8,12.7,1
957,6.02,78.4,1.2349,53.4,14.8,0
958,5.97,115.9,1.3462,49.2,11.8,1
959,5.91,114.7,1.42305,46.3,19.7,1
960,5.84,108.3,1.43895,45.7,18.4,1
961,5.72,85.1,1.55025,41.5,9.6,0
962,5.84,114.2,1.34355,49.3,13.3,1
963,5.71,82.2,1.3674,48.4,10.2,0
964,6.04,109.4,1.4098,46.8,15.2,1
965,5.91,74.8,1.44955,45.3,12.4,0
966,5.82,118.7,1.3992,47.2,27.1,1
967,5.86,106.9,1.37005,48.3,8.2,1
968,5.84,69.4,1.52905,42.3,11.6,0
969,5.92,116.9,1.4211,42.6,10.4,1
970,5.93,55.8,1.3992,47.2,9.3,0
971,5.85,62.5,1.4946,43.6,9.5,0
972,5.96,113.8,1.34355,49.3,19.4,1
973,5.72,116.9,1.47075,44.5,14.5,1
974,5.84,124.9,1.272,52,15.7,1
975,5.92,71.3,1.2879,51.4,12.3,0
976,5.12,111.7,1.2296,53.6,15.4,1
977,5.82,82.7,1.3674,48.4,15.6,0
978,5.93,68.4,1.5476,41.6,12.5,0
979,5.92,79.8,1.8974,28.4,11.4,0
980,5.86,113.6,1.2243,53.8,17.8,1
981,5.72,110.4,1.27995,51.7,15.9,1
982,6.03,103.2,1.50785,43.1,14.9,0
983,5.84,86.1,1.4469,45.4,12.6,0
984,5.84,106.8,1.2402,53.2,14.3,1
985,6.03,104.6,1.25345,52.7,18.9,1
986,5.81,87.4,1.3091,50.6,18.2,0
987,5.84,82.4,1.5847,40.2,11.3,0
988,6.12,85.9,1.6059,39.4,12.5,0
989,6.3,109.8,1.3144,50.4,14.2,1
990,6.32,107.6,1.27465,51.9,22,1
991,6.74,111.4,1.2614,52.4,15.7,1
992,6.45,125.2,1.45485,45.1,12.3,1
993,6.23,139.7,1.52905,42.3,10.2,0
994,6.15,83.4,1.3621,48.6,15.8,0
995,6.61,77.8,1.3462,49.2,13.6,0
996,6.49,132.2,1.43365,45.9,14.8,1
997,6.35,110.6,1.5211,42.6,13.3,1
998,6.74,112.4,1.47605,44.3,17.5,1
999,6.12,116.5,1.43895,45.7,18.9,1
1000,6.33,100.8,1.55555,41.3,12.5,0
1001,6.29,122.2,1.4628,44.8,21,1
1002,6.05,95.6,1.2561,52.6,14.3,1
1003,6.04,67.7,1.2932,51.2,15.9,0
1004,5.72,62,1.6324,38.4,6.9,0
1005,6.12,109.9,1.41245,46.7,22.3,1
1006,6.56,115.2,1.4363,45.8,11.5,1
1007,6.24,102.5,1.31705,50.3,12.5,1
1008,6.25,72.9,1.3197,50.2,14.5,0
1009,6.24,84.8,1.3621,48.6,11.2,0
1010,6.41,110.9,1.4234,45.2,18.5,1
1011,6.27,75.2,1.4787,44.2,14.8,0
1012,6.05,111.8,1.25875,52.5,19.3,1
1013,6.28,114.8,1.2773,51.8,14.7,1
1014,6.32,58.8,1.52375,42.5,13.5,0
1015,6.19,150.4,1.4946,43.6,12.5,0
